StudyInstanceUID,ImageUID
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001598
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001510
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001323
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001471
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001479
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001386
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001485
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001281
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001418
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001277
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001644
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001521
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001364
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001435
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001430
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001539
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001400
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001620
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001621
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001329
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001519
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001279
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001648
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001627
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001580
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001342
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001548
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001356
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001278
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001417
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001365
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001669
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001375
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001394
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001487
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001559
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001498
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001645
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001642
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001297
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001294
1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283,1.3.12.2.1107.5.1.7.112561.30000020061810181369900001299
