image,mask
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001323.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001323.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001386.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001386.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001418.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001418.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001364.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001364.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001430.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001430.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001400.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001400.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001329.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001329.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001342.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001342.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001356.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001356.png
image/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001417.png,mask/1.3.12.2.1107.5.1.7.112561.30000020061705413171300006283/1.3.12.2.1107.5.1.7.112561.30000020061810181369900001417.png
